編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
3-44,跍,ku,蹲,"跍等洗衫當辛苦
跍恁久，腳痺忒咧！","蹲著洗衣服很辛苦。
蹲那麼久，腳麻掉了！",,動詞,,3外在活動與動作
3-45,關,guanˋ,關,外背蚊仔恁多，門愛關好來,外面蚊子那麼多，門要關好。,,動詞,,3外在活動與動作
3-46,下來, haˋ loi ,下來,"地動當搖，圍牆橫下來
麼个東西跌下來？恁大聲","地震搖得很厲害，圍牆倒下來。
什麼東西掉下來？那麼大聲。",,動詞,,3外在活動與動作
3-47,下去,haˋhiˇ,下去,"企較後背兜仔，無會跢下去
這有隻空仔佢無看着，腳就漯下去","站後面一點，不然會跌下去。
這有個洞他沒看到，腳就陷下去。",,動詞,,3外在活動與動作
3-48,行,hang,行走,"緊行緊看
行來行去","邊走邊看。
走來走去。",,動詞,,3外在活動與動作
3-49,行路,hang lu+,走路,老弟逐日行路去讀書,弟弟每天走路去上學。,,動詞,,3外在活動與動作
3-50,喊,hemˋ/hamˇ,叫,食飽咧！喊阿哥下來洗碗,吃飽了！叫哥哥下來洗碗。,,動詞,,3外在活動與動作
3-51,去,hiˇ,去,"佢又瀉去哪？
阿哥逐禮拜去圖書館讀書","他又跑去哪裡？
哥哥每星期去圖書館讀書。",,動詞,,3外在活動與動作
3-52,起來,hiˊloi,起來,"看着垃圾，愛拈起來
你毋係愛睡目？仰又跋䟘起來？","看到垃圾，要撿起來。
你不是要睡覺？怎麼又爬起來？",,動詞,,3外在活動與動作
3-53,挾,giab,挾取,阿姆挾菜分老弟食,媽媽挾菜給弟弟吃。,,動詞,,3外在活動與動作
3-54,歇睏(休息),hied kunˇ(hiuˋsid),休息,當晝愛歇睏一點鐘,中午要休息一小時。,,動詞,,3外在活動與動作
3-55,畜,hiug,畜養,"畜狗
𠊎毋敢畜魚仔，驚畜毋生","養狗。
我不敢養魚，怕養不活。",,動詞,,3外在活動與動作
3-56,䟘,hongˇ,起身、起來,先生喊你，你就愛企䟘起來,老師喊你，你就要站起來。,,動詞,,3外在活動與動作
3-57,舀,rhauˊ,舀,"舀一杓水來，𠊎愛淋菜
係講愛食，就愛自家舀","舀一杓水來，我要澆菜。
如果要吃，就要自己舀。",,動詞,,3外在活動與動作
3-58,有,rhiuˋ,有,"佢屋下有四儕人
豬仔有四支腳
有食着就好","他家有四個人。
豬有四隻腳。
有吃到就好。",,動詞,,3外在活動與動作
3-59,用,rhung+,使用、利用,阿太還毋會用手機,曾祖父（母）還不會用手機。,,動詞,,3外在活動與動作
3-60,接,ziab,接,"電話響咧！你去接一下好無？
你有閒無？敢做得摎𠊎接細人仔？","電話響了！你去接一下好嗎？
你有空嗎？可以幫我接小孩嗎？",,動詞,,3外在活動與動作
3-61,浸,zimˇ,浸泡,"衫褲先浸等，韶朝晨正洗
熱天搞水愛細義，係浸着斯無結煞哦！","衣服先浸泡，明天早上再洗。
夏天玩水要注意，要是溺水可就麻煩大了！",,動詞,,3外在活動與動作
3-62,㧡,kaiˋ,以肩擔、挑,㧡菜去市場賣,挑菜去市場賣。,,動詞,,3外在活動與動作
3-63,敲,kauˇ,敲,敲麼个東西？敲到恁大聲,敲什麼東西？敲得那麼大聲。,,動詞,,3外在活動與動作
3-64,企,kiˋ,站,"
在這企等等，𠊎等下來載你",站在這裡等，我等一下來載你。,,動詞,,3外在活動與動作
3-65,擎,kia,舉；拿（傘、筆）,"擎手
擎筆
擎钁頭","舉手。
拿筆。
拿鋤頭。",,動詞,,3外在活動與動作
3-66,牽,kienˋ,牽,"渡細人仔過大路，手愛牽等
牽手","帶小孩子過大馬路，手要牽好。
牽手。",,動詞,,3外在活動與動作
3-67,開,koiˋ,開,門開等咧，毋驚賊仔落來係無？,門開著，不怕小偷進來嗎？,,動詞,,3外在活動與動作
3-68,看,konˇ,看；探望,"敗勢！𠊎看毋著咧！你寫个正著。
發病愛分先生看
去醫院看佢","抱歉！我看錯了！你寫的才對。
生病要看醫生。
去醫院探望他。",,動詞,,3外在活動與動作
3-69,囥,kongˇ,藏匿,奇怪，囥到哪去？尋恁久還尋毋着。,奇怪，藏到哪裡了？找那麼久還是找不到。,,動詞,,3外在活動與動作
3-70,擐,kuan+,提,"擐皮包仔
這恁重，麼人擐得贏","提皮包。
這那麼重，誰提得動。",,動詞,,3外在活動與動作
3-71,跪,kuiˊ,跪下,"佢跪在地泥下緊噭
佢跪下來請大家原諒。","他跪在地上一直哭。
他跪下來請求大家原諒。",,動詞,,3外在活動與動作
3-72,拉,laiˋ／loˋ,拉,"𠊎企毋起來，你來拉𠊎一下
頭家請人來拉生理","我站不起來，你來拉我一下。
老闆請人來招攬生意。",,動詞,,3外在活動與動作
