編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
13-34,撿採（準講）,giam^ cai^ (zhin^ gong^) ,萬一、如果,撿採佢無來，愛仰子正好？,萬一他沒來，要怎麼辦才好？,,副詞,,13特殊詞類
13-35,佳載,gaˇ zai^ ,幸好、幸虧,車碰壞會用擱買，佳載人無著傷。,車子撞壞可以再買，幸好人沒受傷。,,副詞,,13特殊詞類
13-36,著面...著面...（若...若...）,choo mien^… choo mien^… (na...na...),一面...一面,著面行著面䀴，䀴着佮意个正買。,邊走邊看，看了中意再買。,,副詞,,13特殊詞類
14-1,班機,banˇ giˇ ,班機,颱風來，所有个班機攏歇个。,颱風來了，所有的班機都停飛。,,名詞,,14通訊、建設與交通
14-2,噪音,cau^ rhimˇ ,噪音,降低噪音,降低噪音,,名詞,,14通訊、建設與交通
14-3,自動化,cu tung fa^ ,自動化,生產自動化，又緊又好。,生產自動化，又快又好。,,動詞,,14通訊、建設與交通
14-4,傳真,cheenˋ zhinˇ ,傳真,資料傳真過來，收着會拁你講。,資料傳真過來，收到會跟你說。,,動詞,,14通訊、建設與交通
14-5,出發,chidˊ fadˊ ,出發,你幾時討出發？,你何時要出發？,,動詞,,14通訊、建設與交通
14-6,出境,chidˊ gin^ ,出境,限制出境,限制出境,,動詞,,14通訊、建設與交通
14-7,出口,chidˊ keu^ ,出口,"臺灣个果子出口到全世界。
佢嘴真壞，輒輒出口傷人。","臺灣的水果出口到全世界。
他嘴巴很壞，常常出口傷人。",,動詞,,14通訊、建設與交通
14-8,塞蹛,cedˊ dai^,堵塞、不通順,水槽空塞蹛，攏毋會通。,水槽孔堵塞，完全不通。,,動詞,,14通訊、建設與交通
14-9,火車路（鐵枝路）,foo^ chaˇ lu (teedˊ giˇ lu),鐵路,上阿里山有火車路通行。,上阿里山有鐵路通行。,,名詞,,14通訊、建設與交通
14-10,火車嫲（火車頭）,foo^ chaˇ maˋ (foo^ chaˇ teuˋ) ,火車頭,老式个火車嫲。,舊式的火車頭。,,名詞,,14通訊、建設與交通
14-11,護照,fu zhioo^ ,護照,好得有人撿着你个護照。,還好有人撿到你的護照。,,名詞,,14通訊、建設與交通
14-12,紅泥橋,fungˋ niˋ kiooˋ ,水泥橋,紅泥橋得水打壞去。,水泥橋被水沖壞。,,名詞,,14通訊、建設與交通
14-13,交通,gauˇ tungˇ ,交通,交通方便,交通方便,,名詞,,14通訊、建設與交通
14-14,寄,gi^ ,寄,寄批,寄信,,動詞,,14通訊、建設與交通
14-15,建設,gien^ shedˊ ,建設,"基礎建設
建設國家","基礎建設
建設國家",,名詞,動詞,14通訊、建設與交通
14-16,高速公路,gooˇ suˊ gungˇ lu ,高速公路,,,,名詞,,14通訊、建設與交通
14-17,港口,gong^ keu^ ,港口,港口有大隻船出入。,港口有大艘的船隻出入。,,名詞,,14通訊、建設與交通
14-18,公路,gungˇ lu,公路,蘇花公路,蘇花公路,,名詞,,14通訊、建設與交通
14-19,汽油（發油）,ki^ rhiuˋ (fadˊ rhiuˋ) ,汽油,汽油這駁子直直起價。,汽油這陣子一直漲價。,,名詞,,14通訊、建設與交通
14-20,起屋,ki^ bbuˊ ,蓋房子,佢係泥水師傅，專門拁人起屋。,他是水泥師傅，專門幫人蓋房子。,,動詞,,14通訊、建設與交通
14-21,起,ki^ ,建造（房舍、廟宇等）,"起大樓
這片个屋愈起愈高。","建造大樓
這邊的房子越蓋越高。",,動詞,,14通訊、建設與交通
14-22,海關,hoi^ guanˇ ,海關,出國愛過海關,出國要過海關,,名詞,,14通訊、建設與交通
14-23,巷,hong,巷,仁愛路三巷五號,仁愛路三巷五號,,名詞,,14通訊、建設與交通
14-24,音響,rhimˇ hiong^ ,音響,這音響足好，毋過無便宜。,這音響很好，不過不便宜。,,名詞,,14通訊、建設與交通
14-25,郵便局（郵局）,rhiuˋ pien/pen kiu (rhiuˋ kiu),郵局,郵便局嘛會用領錢,郵局也可以領錢,,名詞,,14通訊、建設與交通
14-26,郵票,rhiuˋ pioo^ ,郵票,寄批愛貼郵票。,寄信要貼郵票。,,名詞,,14通訊、建設與交通
14-27,轎車,kioo chaˇ ,轎車,駛轎車,開轎車,,名詞,,14通訊、建設與交通
14-28,科技,kooˇ giˇ ,科技,"科技大學
科技進步","科技大學
科技進步",,名詞,,14通訊、建設與交通
14-29,錄音,liu rhimˇ ,錄音,用錄音筆錄音,用錄音筆錄音,,動詞,,14通訊、建設與交通
14-30,路口,lu keu^ ,路口,十字路口,十字路口,,名詞,,14通訊、建設與交通
14-31,火船（輪船）,foo^ fienˋ (lunˋ fienˋ) ,輪船,討出國，坐火船較久。,要出國，坐輪船比較久。,,名詞,,14通訊、建設與交通
14-32,碼頭,maˇ teuˋ ,碼頭,碼頭歇真多船。,碼頭停靠很多船隻。,,名詞,,14通訊、建設與交通
14-33,明信片,menˋ/meenˋ sin^ peen^ ,明信片,今日𠊎收着一張明信片,今天我收到一張明信片,,名詞,,14通訊、建設與交通
14-34,入境,ngibˋ gin^ ,入境,入境手續,入境手續,,動詞,,14通訊、建設與交通
14-35,人口,nginˋ keu^ ,人口,臺灣个人口有兩千三百萬。,臺灣的人口有兩千三百萬。,,名詞,,14通訊、建設與交通
14-36,標語,piooˇ ngi^ ,標語,危險个所在會有警告標語。,危險的地方會有警告標語。,,名詞,,14通訊、建設與交通
14-37,設,shedˊ ,設立,設一臺機器在這，真利便。,設一臺機器在這，很方便。,,動詞,,14通訊、建設與交通
14-38,設備,shedˊ pi ,設備,這餐廳設備嶄然高級。,這餐廳設備相當高級。,,名詞,,14通訊、建設與交通
14-39,上網,shongˇ miong^ ,上網,用手機上網真利便。,用手機上網很方便。,,動詞,,14通訊、建設與交通
14-40,啦濟喲（收音機）,la rhi oo^ (shiuˇ rhimˇ giˇ) ,收音機,聽啦濟喲,聽收音機,,名詞,,14通訊、建設與交通
14-41,透到,teu^ doo^ ,通往,這條細路直直行，會透到高速公路。,這條小路直直走，會通到高速公路。,,動詞,,14通訊、建設與交通
14-42,電,teen ,電,"失電
無電",停電、沒電,,名詞,,14通訊、建設與交通
14-43,電車,teen chaˇ ,電車,日本真多人坐電車上班。,日本很多人坐電車上班。,,名詞,,14通訊、建設與交通
14-44,電藥,teen rhioo,電池,時鐘个電藥無電啊。,時鐘的電池沒電了。,,名詞,,14通訊、建設與交通
14-45,電器,teen ki^ ,電器,用電器愛注意。,用電器要小心。,,名詞,,14通訊、建設與交通
14-46,電臺,teen taiˋ ,電臺,廣播電臺,廣播電臺,,名詞,,14通訊、建設與交通
14-47,通過,tungˇ goo^ ,通過,佢通過這擺認證考試。,他通過這次認證考試。,,動詞,,14通訊、建設與交通
14-48,批,peˇ ,信件,𠊎个批，你有收着無？,我的信，你有收到嗎？,,名詞,,14通訊、建設與交通
14-49,整修,zhin^ siuˇ ,修建,屋蹛恁多年，久久愛整修一擺。,屋子住那麼多年，久久要修建一次。,,動詞,,14通訊、建設與交通
14-50,巷路,hong lu,走廊,莫在巷路面上捎來捎去。,不要在走廊上追來追去。,,名詞,,14通訊、建設與交通
14-51,建立,gien^ libˋ ,建立,"建立關係
建立制度","建立關係
建立制度",,動詞,,14通訊、建設與交通
14-52,城市,shangˋ shi,城市,這城市人真多。,這城市人很多。,,名詞,,14通訊、建設與交通
14-53,速度,suˊ tu ,速度,"你个車速度仰子恁慢？
佢做事速度真緊。","你的車子速度怎麼這麼慢？
他工作速度很快。",,名詞,,14通訊、建設與交通
15-1,拜年,bai^ neenˋ ,拜年,去人屋下拜年愛擐等路去。,去別人家裡拜年要帶伴手禮去。,,動詞,,15歲時祭儀、習俗與宗教
15-2,拜天公,bai^ teenˇ gungˇ ,謝天、拜天公,拜天公愛燒金,拜天公要燒金紙,,動詞,,15歲時祭儀、習俗與宗教
15-3,包紅包（包禮）,bauˇ fungˋ bauˇ (bauˇ li^) ,包禮,去食酒，愛包紅包。,去喝喜酒，要包禮。,,動詞,,15歲時祭儀、習俗與宗教
15-4,庇佑,bi^ rhiu,庇佑,好得神明庇佑，佢正無事情。,幸好神明庇佑，他才平安無事。,,動詞,,15歲時祭儀、習俗與宗教
15-5,傳香火,cheenˋ hiongˇ foo^ ,傳宗接代,佢望後生較緊結婚傳香火,他指望兒子趕緊結婚傳宗接代,,動詞,,15歲時祭儀、習俗與宗教
15-6,長山,chongˋ sanˇ ,指大陸原鄉，即「唐山」,厥屋下个來臺祖係對長山來个。,他家的來臺祖是從唐山來的。,,名詞,,15歲時祭儀、習俗與宗教
15-7,出山,chidˊ sanˇ ,出殯,阿媽拜六出山,祖母星期六出殯,,動詞,,15歲時祭儀、習俗與宗教
15-8,戴孝,doi^ hau^ ,帶孝徽、服喪,屋下有人過身愛戴孝。,家裡有人過世要服喪。,,動詞,,15歲時祭儀、習俗與宗教
15-9,跌無筊,deedˊ moˋ gau^ ,擲筊擲不到肯定的聖筊,逐擺拜公媽攏跌無筊。,每次拜祖先都擲不到聖筊。,,動詞,,15歲時祭儀、習俗與宗教
15-10,跌筊,deedˊ gau^ ,擲筊以卜吉凶,去廟跌筊,去廟裡擲筊,,動詞,,15歲時祭儀、習俗與宗教
15-11,對歲,doi^ se^ ,週歲,拁細子做對歲,替小孩過週歲,,副詞,,15歲時祭儀、習俗與宗教
15-12,佛教,fudˋ gau^ ,佛教,阿公信佛教,祖父信佛教,,名詞,,15歲時祭儀、習俗與宗教
15-13,婚姻,funˇ rhinˇ,婚姻,佢兩儕真相好，大家真䀴好這段婚姻。,他們兩個很要好，大家很看好這段婚姻。,,名詞,,15歲時祭儀、習俗與宗教
15-14,地,ti,墳墓,後禮拜討掛紙，去地拁草刜刜个。,下星期要掃墓，去墳墓把草除一除。,,名詞,,15歲時祭儀、習俗與宗教
15-15,風俗,fungˇ siu ,風俗,傳統風俗,傳統風俗,,名詞,,15歲時祭儀、習俗與宗教
15-16,教堂,gau^ tongˋ ,教堂,去教堂做禮拜,去教堂做禮拜,,名詞,,15歲時祭儀、習俗與宗教
15-17,基督教,giˇ duˊ gau^ ,基督教,佢信基督教。,他信基督教。,,名詞,,15歲時祭儀、習俗與宗教
15-18,結親家,giedˊ cinˇ gaˇ ,結為親家、聯姻,兩家人結親家。,兩家結為親家。,,動詞,,15歲時祭儀、習俗與宗教
15-19,矺定,zaˊ ten,訂婚,後個月阿妹即討矺定。,下個月妹妹就要訂婚。,,動詞,,15歲時祭儀、習俗與宗教
15-20,公廳,gungˇ tenˇ ,公廳（供奉祖先牌位的正廳）,過節愛去公廳拜祖先。,過節要去公廳拜祖先。,,名詞,,15歲時祭儀、習俗與宗教
15-21,白包,pa bauˇ ,奠儀、白包,出席喪事愛包白包。,出席喪禮要包奠儀。,,名詞,,15歲時祭儀、習俗與宗教
15-22,閏年,bbin neenˋ ,閏年,今年係閏年。,今年是閏年。,,名詞,,15歲時祭儀、習俗與宗教
15-23,閏月,bbin ngiedˋ ,閏月,三年一擺閏月,三年一次閏月,,名詞,,15歲時祭儀、習俗與宗教
15-24,節日,ziedˊ ngidˊ ,節日,天穿日係客人正有个節日。,天穿日是客家人才有的節日。,,名詞,,15歲時祭儀、習俗與宗教
15-25,舊曆,kiu ledˋ ,舊曆、農曆,舊曆過年,農曆過年,,名詞,,15歲時祭儀、習俗與宗教
15-26,䀴風水,ngiang^ fungˇ fi^ ,看地理,請地理先生來䀴風水。,請地理師來看地理。,,動詞,,15歲時祭儀、習俗與宗教
15-27,離緣,liˋ rheenˋ,離婚,離緣了後，細子跈阿依。,離婚過後，小孩跟隨媽媽。,,動詞,,15歲時祭儀、習俗與宗教
15-28,尞天穿,leeu teenˇ cheenˇ ,天穿日休息,客人有尞天穿个風俗。,客家人有天穿日休息的習俗。,,動詞,,15歲時祭儀、習俗與宗教
15-29,尾牙,muiˇ ngaˋ ,尾牙,食尾牙,吃尾牙,,名詞,,15歲時祭儀、習俗與宗教
15-30,無閒時務,moˋ heenˋ shiˋ bbu,忙碌的時候,這站係工廠个無閒時務，想討請假真難。,這陣子是工廠忙碌的時候，想請假很難。,,副詞,,15歲時祭儀、習俗與宗教
15-31,卜卦,buˊ gua^ ,問卜,求神卜卦,求神問卜,,動詞,,15歲時祭儀、習俗與宗教
15-32,拈香,neem/ngiamˇ hiongˇ ,弔唁（弔喪）,人過身了後，佢个親戚朋友會去拈香。,人過世後，他的親戚朋友會去弔唁。,,動詞,,15歲時祭儀、習俗與宗教
15-33,迎神,ngiangˋ shinˋ ,迎神,正月初四愛迎神。,正月初四要迎神。,,動詞,,15歲時祭儀、習俗與宗教
15-34,元旦,ngienˋ dan^ ,元旦,元旦升旗典禮，你討去參加無？,元旦升旗典禮，你要去參加嗎？,,名詞,,15歲時祭儀、習俗與宗教
15-35,年節,neenˋ ziedˊ ,逢年過節,見年節即愛拜神明。,逢年過節就要拜神明。,,名詞,,15歲時祭儀、習俗與宗教
15-36,年三十夜,neenˋ samˇ shibˋ rhia,除夕夜,年三十夜愛食團圓飯。,除夕夜要吃團圓飯。,,副詞,,15歲時祭儀、習俗與宗教
15-37,年三十,neenˋ samˇ shibˋ ,除夕,年三十遐日真無閒。,除夕那天非常忙。,,名詞,,15歲時祭儀、習俗與宗教
15-38,辦桌,peen zooˊ ,辦外燴,"辦桌請人客。
辦桌个菜普普。","辦外燴請客。
辦外燴的菜還不錯。",,動詞,,15歲時祭儀、習俗與宗教
15-39,請神,ciang^ shinˋ ,請神,做鬧熱愛請神。,辦廟會要請神。,,動詞,,15歲時祭儀、習俗與宗教
15-40,清明,ciangˇ miangˋ ,清明,清明愛掛紙,清明節要掃墓,,名詞,,15歲時祭儀、習俗與宗教
15-41,三牲,samˇ senˇ ,含三種牲類之祭品,用三牲拜公媽,用含三種牲類之祭品祭拜祖先,,名詞,,15歲時祭儀、習俗與宗教
15-42,聖筊,shin^ gau^ ,聖筊（一陰一陽）,見擺佢跌即會聖筊。,每次他擲筊都會擲聖筊。,,名詞,,15歲時祭儀、習俗與宗教
15-43,敬字亭,gin^ cu tenˋ ,聖蹟亭,這座敬字亭係古蹟。,這座聖蹟亭是古蹟。,,名詞,,15歲時祭儀、習俗與宗教
15-44,天穿日,teenˇ cheenˇ ngidˊ ,天穿日（農曆正月二十日）,天穿日愛尞天穿。,天穿日要休息。,,名詞,,15歲時祭儀、習俗與宗教
15-45,天主教,teenˇ zhi^ gau^ ,天主教,阿哥信天主教。,哥哥信天主教。,,名詞,,15歲時祭儀、習俗與宗教
15-46,天堂,teenˇ tongˋ ,天堂,天堂和地獄,天堂和地獄,,名詞,,15歲時祭儀、習俗與宗教
15-47,死去,si^ kui^ ,過世,遐隻狗得車碰死去啊。,那隻狗被車子撞死了。,,動詞,,15歲時祭儀、習俗與宗教
15-48,信仰,sin^ ngiong^ ,信仰,𠊎和佢無共信仰。,我和他信仰不同。,,名詞,,15歲時祭儀、習俗與宗教
15-49,新曆,sinˇ ledˋ ,國曆,今日係新曆二月初十。,今天是國曆二月十日。,,名詞,,15歲時祭儀、習俗與宗教
15-50,新郎,sinˇ longˋ ,新郎,新郎屋下真好額。,新郎家裡很有錢。,,名詞,,15歲時祭儀、習俗與宗教
15-51,新娘間,sinˇ ngiongˋ geenˇ ,新房,肖虎个毋會用入新娘間。,屬虎的人不能進新房。,,名詞,,15歲時祭儀、習俗與宗教
15-52,繡香包,siu^ hiongˇ bauˇ ,繡香包,現時無人繡香包,現在沒人繡香包,,名詞,,15歲時祭儀、習俗與宗教
15-53,招阿郎,zhiooˇ aˇ longˋ ,招贅女婿,這下真少人招阿郎。,現在很少人招贅。,,名詞,,15歲時祭儀、習俗與宗教
15-54,做百日,zoo^ baˊ ngidˊ ,死後百日祭,做百日愛請人來誦經。,百日祭要請人來誦經。,,名詞,,15歲時祭儀、習俗與宗教
15-55,做好事,zoo^ hoo^ su,辦喜事,人做好事，去食酒愛包禮。,人家辦喜事，去參加喜宴要包禮。,,動詞,,15歲時祭儀、習俗與宗教
15-56,做喪事,zoo^ songˇ su,辦喪事,現時个人做喪事，越來越簡單。,現在人辦喪事，越來越簡單。,,動詞,,15歲時祭儀、習俗與宗教
15-57,宗教,zungˇ gau^ ,宗教,宗教信仰,宗教信仰,,名詞,,15歲時祭儀、習俗與宗教
16-1,半數,ban^ su^ ,半數,半數个人攏無意見,半數的人都沒意見,,數/量詞,,16數詞量詞
16-2,丙,biang^ ,丙,今年係丙子年。,今年是丙子年。,,數/量詞,,16數詞量詞
16-3,筆,bidˊ ,筆（量詞，土地）,這筆土地賣八千萬。,這筆土地賣八千萬。,,數/量詞,,16數詞量詞
16-4,枋,biongˇ ,班次；批次,一日一枋車,一天一班車,,數/量詞,,16數詞量詞
16-5,磅,bong,度（量詞，水電瓦斯）,幾多磅電？,幾度電？,,數/量詞,,16數詞量詞
16-6,毋會少（無少） ,mˇ moi shioo^ (moˋ shioo^ ),不少,佢生理真好，逐個月趁毋會少錢。,他生意很好，每個月賺不少錢。,,副詞,,16數詞量詞
16-7,幅,bedˊ,幅（量詞，字畫）,一幅畫,一幅畫,,數/量詞,,16數詞量詞
16-8,冊,caˊ ,冊,教材有六冊,教材有六冊,,數/量詞,,16數詞量詞
16-9,陣,chin,陣（量詞）,雨一陣一陣仔落,雨一陣一陣地下,,數/量詞,,16數詞量詞
16-10,頓,dun^ ,餐,一日三頓兩頓點心,一日三餐兩頓點心,,數/量詞,,16數詞量詞
16-11,場,chongˋ ,場,一場活動,一場活動,,數/量詞,,16數詞量詞
16-12,寸,cun^ ,十分之一臺尺,三寸金蓮,三寸金蓮,,數/量詞,,16數詞量詞
16-13,打,da^ ,打（量詞）,一打鉛筆,一打鉛筆,,數/量詞,,16數詞量詞
16-14,丁,denˇ ,丁,佢係丁丑年出世个。,他是丁丑年出生的。,,數/量詞,,16數詞量詞
16-15,點,deem^ ,滴（量詞）,一兩點雨,一兩滴雨,,數/量詞,,16數詞量詞
16-16,噸,dun^ ,噸（單位）,這驚有五十噸重哦！,這應該有五十噸重喔！,,數/量詞,,16數詞量詞
16-17,噸,dun^ ,噸,這物件大概有半噸重，無人掇會贏。,這東西大概有半噸重，沒人抱得動。,,數/量詞,,16數詞量詞
16-18,墩,dunˇ ,叢（草）、墩（土）,一墩草,一叢草,,數/量詞,,16數詞量詞
16-19,付,fu^ ,成組成套物品的單位,掛紙愛準備幾下付牲儀。,掃墓要準備好幾付牲禮。,,數/量詞,,16數詞量詞
16-20,壺,fuˋ ,壺,泡一壺神茶,泡一壺給神明喝的茶,,數/量詞,,16數詞量詞
16-21,份,fun ,份（量詞）,兩份資料,兩份資料,,數/量詞,,16數詞量詞
16-22,架,ga^ ,架（量詞）,書架加做兩架,多做兩架書架,,數/量詞,,16數詞量詞
16-23,屆,goi^ ,屆（量詞）,第五屆,第五屆,,數/量詞,,16數詞量詞
16-24,溝,geuˇ ,溝,菜園脣有一溝一溝个水路。,菜畦邊上有一溝一溝的水路。,,數/量詞,,16數詞量詞
16-25,弓,giungˇ ,弓（量詞，計算香蕉）,一弓弓蕉有五六秕。,一弓香蕉有五、六串。,,動詞,數/量詞,16數詞量詞
16-26,角,gooˊ ,計算錢幣的單位,現時五角銀買毋會着物件啊。,現在五毛錢買不到東西了。,,數/量詞,,16數詞量詞
16-27,罐,guan^ ,罐（量詞）,一罐火油,一罐花生油,,數/量詞,,16數詞量詞
16-28,蕃,ponˇ ,批（量詞，計算牲畜的單位）,一蕃豬么,一窩小豬,,數/量詞,,16數詞量詞
16-29,公尺,gungˇ chaˊ ,公尺,九公尺,九公尺,,數/量詞,,16數詞量詞
16-30,公分,gungˇ funˇ ,公分,一公分,一公分,,數/量詞,,16數詞量詞
16-31,億,rhidˊ ,億,十億人口,十億人口,,數/量詞,,16數詞量詞
16-32,一兜仔,rhidˊ deuˇ aˋ ,一丁點,漕一兜仔油落去,倒一丁點油下去,,數/量詞,,16數詞量詞
16-33,任,rhim/ngim,任期（量詞）,總統一任係四年。,總統一任是四年。,,數/量詞,,16數詞量詞
16-34,有兜,rhiuˇ deuˇ ,有的、有些,有兜人佮意食苦瓜。,有些人喜歡吃苦瓜。,,數/量詞,,16數詞量詞
16-35,截,ziedˊ ,截（量詞，計算棍棒、竹子、甘蔗）,剁一截甘蔗來喫。,剁一截甘蔗來啃。,,數/量詞,,16數詞量詞
16-36,期,kiˋ ,期（量詞）,這期个發票無對着。,這期的發票沒中獎。,,數/量詞,,16數詞量詞
16-37,克,kiedˊ ,克（量詞）,十克重个糖,十克重的糖,,數/量詞,,16數詞量詞
16-38,輪,linˇ ,圈（量）,騎機車去山崠踅一輪,騎機車去山上繞一圈,,數/量詞,,16數詞量詞
16-39,坵,kiuˇ ,坵（計算田地的量詞）,一坵田,一坵田,,數/量詞,,16數詞量詞
16-40,陣,chin,群,一陣人,一群人,,數/量詞,,16數詞量詞
16-41,椏,bbaˇ ,支（量詞，計算樹枝）,颱風討來啊，阿公鋸去幾下椏樹梗。,颱風快來了，祖父鋸下好幾支樹枝。,,數/量詞,,16數詞量詞
16-42,擐,kuan,串（量詞）,兩擐餡粽,兩串粽子,,數/量詞,,16數詞量詞
16-43,落,loo,落（量詞，計算成堆成疊物品的單位） ,一落碗,一落碗,,數/量詞,,16數詞量詞
16-44,列,liedˋ ,列（量詞）,一列竹,一列竹子,,數/量詞,,16數詞量詞
16-45,禮拜,le^ bai^ ,星期（量詞）、週,兩禮拜,兩個星期,,名詞,,16數詞量詞
16-46,𢿞,leeu,料（量詞，多用於豬肉）,阿財哥禮拜日割一𢿞豬肉去䀴厥外媽。,阿財哥星期日買一塊豬肉去看他外婆。,,數/量詞,,16數詞量詞
16-47,輪,linˇ ,輪,敬酒敬一輪,敬酒敬一輪,,數/量詞,名詞,16數詞量詞
16-48,籮,looˋ ,籮（量詞）,一籮米,一籮米,,數/量詞,,16數詞量詞
16-49,落,loo,幢、棟（量詞，房屋）,兩落販子屋,兩棟成屋,,數/量詞,,16數詞量詞
16-50,類, lui ,類,"第一類
分類","第一類
分類",,數/量詞,,16數詞量詞
16-51,尾,muiˇ ,條（量詞）,當晝煎兩尾魚來食,中午煎兩條魚來吃,,數/量詞,,16數詞量詞
16-52,毛,hmˇ/moˋ,毛,"手毛、腳毛
有毛个物件毋好直接食。","手毛、腳毛
有毛的東西不能直接吃。",,名詞,,16數詞量詞
16-53,支,giˇ ,枚（量詞）,一支針,一枚針,,數/量詞,,16數詞量詞
16-54,倍,pue,倍（量詞）,賠一百倍,賠一百倍,,數/量詞,,16數詞量詞
16-55,疋,pidˊ ,疋（量詞）,一疋布,一疋布,,數/量詞,,16數詞量詞
16-56,步,pu,步（量詞）,兩三步即到啊。,兩三步就到了。,,數/量詞,,16數詞量詞
16-57,垺,puˋ ,堆（量詞）,一垺屎,一堆屎,,數/量詞,,16數詞量詞
16-58,裡,le^ ,片,破兩裡,剖兩片,,數/量詞,,16數詞量詞
16-59,成,shangˋ ,成，計算比例用,這擺來个人大約五成。,這次來的人大約五成。,,數/量詞,,16數詞量詞
16-60,升,shinˇ ,升（單位）,你下班糴兩升米轉來。,你下班買兩升米回來。,,數/量詞,,16數詞量詞
16-61,杓,shoo/shioo,杓（量詞）,加一杓水落去,加一杓水下去,,數/量詞,,16數詞量詞
16-62,束,sogˋ,束,一束花,一束花,,數/量詞,,16數詞量詞
16-63,數字,su^ cu,數字,機車車牌有四個數字,機車車牌有四個數字,,名詞,,16數詞量詞
16-64,秕,bi^ ,串（量詞）,一秕弓蕉,一串香蕉,,數/量詞,,16數詞量詞
16-65,代,toi,代（量詞）,三代同堂,三代同堂,,數/量詞,,16數詞量詞
16-66,圝,lonˋ ,團（量詞）,兩圝捼好个粄粹,兩團搓好的粄團,,數/量詞,,16數詞量詞
16-67,站,cam,車站的計量單位,擱兩站即到臺北啊。,再兩站就到臺北了。,,數/量詞,,16數詞量詞
16-68,盞,zan^ ,盞（量詞，計算燈）,一盞燈,一盞燈,,數/量詞,,16數詞量詞
16-69,只,zaˊ ,把（量詞，綑成束的細長物）,一只麵線,一把麵線,,數/量詞,,16數詞量詞
16-70,輪,linˇ ,輪、回、圈,走幾下輪。,跑好幾回。,,數/量詞,,16數詞量詞
16-71,尊,zunˇ ,尊（量詞，神像）,刻一尊神像,刻一尊神像,,數/量詞,,16數詞量詞
16-72,擔,damˇ ,擔（量詞）,敢去即一擔樵，毋敢去即屋下愁。,敢去就有一擔柴，不敢去就在家裡發愁。,,數/量詞,,16數詞量詞
16-73,甲,gabˊ ,甲,一甲地,一甲地,,數/量詞,,16數詞量詞
16-74,乙,rhidˊ/bbiedˊ ,乙,阿弟寫个毛筆字得着乙等。,弟弟寫的毛筆字得到乙等。,,數/量詞,,16數詞量詞
16-75,兩,liongˇ ,臺兩,買五兩即好，毋使買恁多。,買五兩就好，不用買那麼多。,,數/量詞,,16數詞量詞
17-1,表,bioo^ ,圖表、表格,一張申請表,一張申請表,,名詞,,17職業與經濟
17-2,保險,boo^ hiam^ ,保險,"佢拁阿貴招保險。
物件你猶係隨个較保險。","他跟阿貴拉保險。
東西你還是帶著比較保險。",,動詞,形容詞,17職業與經濟
17-3,發,fadˊ ,富有,厥屋下真發，麼个攏買頭好个。,他家裡很富有，什麼都買最好的。,,形容詞,,17職業與經濟
17-4,賒數,shaˇ su^ ,賒帳,會用賒數無？,可以賒帳嗎？,,動詞,,17職業與經濟
17-5,茶館,caˋ guan^ ,茶館,茶館酒樓,茶館酒樓,,名詞,,17職業與經濟
17-6,辭,suˋ ,辭,佢做事無認真，又輒請假，得頭家辭頭路。,他工作不認真，又常請假，被老闆開除。,,動詞,,17職業與經濟
17-7,辭職,suˋ zhidˊ ,辭職,過年了佢即辭職啊。,過完年他就辭職了。,,動詞,,17職業與經濟
17-8,辭頭路,suˋ teuˋ lu,辭職；革職,死無命！年到啊正得人辭頭路。,真糟糕！快過年了才被人開除。,,動詞,,17職業與經濟
17-9,著獎,choo ziong^ ,中獎,你這期發票有著獎無？,你這期發票有中獎嗎？,,動詞,,17職業與經濟
17-10,財產,caiˋ san^ ,財產,厥爸留得佢个財產罅佢食一世人。,他的爸爸留給他的財產夠他花一輩子。,,名詞,,17職業與經濟
17-11,倉庫,congˇ ku^ ,倉庫,倉庫囥真多物件。,倉庫放很多東西。,,名詞,,17職業與經濟
17-12,助理,cu li^ ,助理,佢个頭路係牙醫助理。,她的工作是牙醫助理。,,名詞,,17職業與經濟
17-13,除,chiˋ ,除法,一百除十係幾多？,一百除以十是多少？,,動詞,,17職業與經濟
17-14,總舖師,zung^ pu^ suˇ ,廚師,這個總舖師真會煮食。,這廚師很會烹飪。,,名詞,,17職業與經濟
17-15,出差,chidˊ caiˇ ,出差,佢這擺出差個半月，愛後個月正轉。,他這次出差一個半月，要下個月才回來。,,動詞,,17職業與經濟
17-16,打算盤,da^ son^ panˋ ,打算盤,成下个小學生愛學打算盤。,以前的小學生要學打算盤。,,動詞,,17職業與經濟
17-17,打折,da^ zhedˊ ,打折,這駁子有打折，來去䀴有麼个好買。,這陣子有打折，去看看有什麼好買。,,動詞,,17職業與經濟
17-18,打平過,da^ piangˋ goo^ ,收支平衡,這個月無趁錢嘛無了錢，打平過。,這個月沒賺錢也沒賠錢，打平。,,形容詞,,17職業與經濟
17-19,打爽,da^ song^ ,可惜；浪費,"物件囥到壞去，真打爽。
若係無愛食即莫提，毋好打爽人个物件。","東西放到壞掉，真是浪費。
如果不吃就不要拿，浪費別人的東西。",,形容詞,,17職業與經濟
17-20,擔保,damˇ boo^ ,擔保,佢信用恁䆀，麼儕敢拁佢擔保？,他信用這麼差，誰敢為他擔保？,,動詞,,17職業與經濟
17-21,店員,deem^ bbienˋ ,店員,店員服務真好。,店員服務很好。,,名詞,,17職業與經濟
17-22,店頭,deem^ teuˋ ,商店,遐間新開个店頭生理毋會䆀。,那間新開的商店生意不錯。,,名詞,,17職業與經濟
