編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
2-1,苦慼（懊惱）,ku^ ciedˊ (au^ nau^) ,懊惱,晨早無攔着車，佢一食肚苦慼。,早上沒趕上車，他滿腹懊惱。,,名詞,,2心理活動與感覺
2-2,悲傷,biˇ shongˇ ,悲傷,唩到真悲傷,很悲傷地哭泣,,形容詞,,2心理活動與感覺
2-3,氣,ki^ ,生氣,聽着你按講，佢心肝底氣歸半日。,聽到你這麼說，他心裡氣了老半天。,,動詞,,2心理活動與感覺
2-4,不幸,budˊ hen,不幸,"佢一世人過到真不幸。
打早即聽着這不幸个消息","他一輩子過得很不幸。
一大早就聽到這不幸的消息",,形容詞,,2心理活動與感覺
2-5,不滿,budˊ man^ ,不滿,"有麼个不滿，你會用講出來。
心肝底十分不滿","有什麼不滿，你可以說出來。
心裡十分不滿",,形容詞,,2心理活動與感覺
2-6,撐,cang^ ,過量、充滿,煮到恁好食，會害人撐傷飽。,煮得這麼好吃，會害人吃過飽。,,動詞,,2心理活動與感覺
2-7,操煩,cauˇ fanˋ ,操煩、操心,做爺哀个，歸日攏在操煩細子。,做父母的，整天都在為小孩操心。,,動詞,,2心理活動與感覺
2-8,自在,cu cai,自在,一儕人蹛莊下，生活真自在。,一個人住鄉下，生活很自在。,,形容詞,,2心理活動與感覺
2-9,自然,cu rheenˋ ,輕鬆、舒適；當然、毫無疑問地,"日過到真自然
在屋下著拖鞋較自然。","日子過得很舒適
在家裡穿拖鞋比較舒適。",,形容詞,,2心理活動與感覺
2-10,自信,cu sin^ ,自信,佢對自家無一兜仔自信。,他對自己沒有半點自信。,,名詞,,2心理活動與感覺
2-11,打強,da^ kiongˋ ,逞強,莫恁愛打強！,不要那麼愛逞強！,,動詞,,2心理活動與感覺
2-12,重視,chungˇ shi,重視,縣長真重視這擺个活動。,縣長很重視這次的活動。,,動詞,,2心理活動與感覺
2-13,充實,chiungˇ shidˋ ,充實,"這暑假過到真充實。
充實自家个能力。","這暑假過得很充實。
充實自己的能力。",,形容詞,動詞,2心理活動與感覺
2-14,打算,da^ son^ ,打算,你這下有麼个打算？,你現在有什麼打算？,,動詞,名詞,2心理活動與感覺
2-15,打擊,da^ gidˊ ,打擊,阿依過身對阿怙打擊足大。,媽媽過世對爸爸打擊太大。,,動詞,名詞,2心理活動與感覺
2-16,挶氣,giuˊ ki^ ,嘔氣、賭氣,佢兩公姐挶氣，真緊即過去啊。,他們兩夫妻賭氣，很快就消氣。,,動詞,,2心理活動與感覺
2-17,知,diˇ ,知道,麼儕知會按？,誰知道會這樣？,,動詞,,2心理活動與感覺
2-18,展風神,deen^ fungˇ shinˋ ,出鋒頭,佢真愛展風神。,他很愛出鋒頭。,,動詞,,2心理活動與感覺
2-19,癀發（發性）,fongˋ fadˊ (fadˊ siang^) ,發火、生氣,聽着佢講這款事，𠊎即癀發。,聽到他講這種話，我就生氣。,,副詞,,2心理活動與感覺
2-20,擘心,baˊ simˇ ,牽掛、擔心,"遐件事𠊎自家會處理，毋使你擘心。
你个行為正經得人真擘心。","那件事情我自己會處理，不必麻煩你。
你的行為真的讓人很掛心。",,動詞,,2心理活動與感覺
2-21,回想,fueˋ siong ,回想,回想猶細漢時務个事情，感覺真心色。,回想年幼時期的事情，覺得很有趣。,,動詞,,2心理活動與感覺
2-22,服,fu,佩服、服氣,做得人䀴，人正會服。,做給別人看，人家才會服氣。,,動詞,,2心理活動與感覺
2-23,合味,habˋ bbi,口味相合、協調,煮粄條，滴一兜仔酸醋真合味。,煮粄條，滴一點醋很對味。,,形容詞,,2心理活動與感覺
2-24,佮意,gaˊ rhi^ ,中意,這等路你有佮意即好。,這伴手禮你中意就好。,,動詞,,2心理活動與感覺
2-25,感心,gam^ simˇ ,感動,這齣電影真感心,這部電影很感人,,形容詞,,2心理活動與感覺
2-26,艱難,ganˇ nanˋ ,難受；難過；艱苦,"胃疾真艱難。
心肝底艱難攏無人知。
屋下生活真艱難。","胃痛很難受。
心裡難過都沒人知道。
家裡生活很艱苦。",,形容詞,,2心理活動與感覺
2-27,驚見笑,giangˇ gien^ sioo^ ,害羞,阿弟真驚見笑。,弟弟很害羞。,,動詞,,2心理活動與感覺
2-28,驚,giangˇ ,恐怕,恁久猶無消息，驚會出大事。,那麼久還沒有消息，恐怕會出大事。,,動詞,,2心理活動與感覺
2-29,激動,gidˊ tung ,激動,佢講到十分激動，好定泥即昏去啊。,他說得非常激動，忽然就昏倒了。,,形容詞,,2心理活動與感覺
2-30,決定,guadˊ ten ,決定 ,"這猶毋使恁緊決定啦！
討做決定即無恁輕可","這還不用那麼快決定啦！
要做決定可沒那麼容易",,動詞,,2心理活動與感覺
2-31,堅持,gienˇ chiˋ ,堅持,堅持自家个想法,堅持自己的想法,,動詞,,2心理活動與感覺
2-32,唩無目汁,bboo^ moˋ hmˊ zhibˊ ,欲哭無淚,車壞去又無抸錢包，這下正經唩無目汁！,車子壞掉又沒帶錢包，這下真的欲哭無淚！,,形容詞,短語,2心理活動與感覺
2-33,過願,goo^ ngien^ ,過癮,正食恁多定，哪會過願。,才吃這麼一點而已，怎麼會過癮。,,動詞,,2心理活動與感覺
2-34,掛心,gua^/kuaˆ simˇ ,掛心,毋使掛心,不用掛心,,動詞,,2心理活動與感覺
2-35,慣,guan^ ,習慣,"𠊎搬出來外頭蹛，猶吂慣。
你頭那毛剪堅短，𠊎䀴無麼个慣。","我搬出來外面住，還不習慣。
你頭髮剪那麼短，我看不太習慣。",,動詞,,2心理活動與感覺
2-36,慣勢,guan^ she^ ,習慣於某事,"容到慣勢
這條路𠊎輒輒行，慣勢啊。","溺愛成習
這條路我常常走，習慣了。",,動詞,,2心理活動與感覺
2-37,關心,guanˇ simˇ ,關心,去關心佢一下,去關心他一下,,動詞,,2心理活動與感覺
2-38,嚇,hadˊ ,嚇,莫按嚇人！會嚇死人。,不要這樣嚇人！會嚇死人。,,動詞,,2心理活動與感覺
2-39,嫌,heemˋ ,嫌棄,"飯煮無好食，得屋下人嫌。
佢个行為無正，得人嫌到臭頭。","煮飯不好吃，被家人嫌棄。
他的行為不正，被人嫌到臭頭。",,動詞,,2心理活動與感覺
2-40,會,bbue,會、曉得、懂得,"這題你會無？
你這支嘴，恁會食哦！","這題你會嗎？
你這張嘴，這麼懂得吃哦！",,動詞,,2心理活動與感覺
2-41,興,hin^ ,興趣,佢對音樂感覺真興。,他對音樂很感興趣。,,動詞,,2心理活動與感覺
2-42,欣賞,himˇ shong^ ,欣賞,"阿依真愛欣賞風景。
頭家真欣賞佢。","媽媽很愛欣賞風景。
老闆很欣賞他。",,動詞,,2心理活動與感覺
2-43,好佳載,hoo^ gaˇ zai^ ,幸好,落恁大个雨，真好佳載堵着阿叔載你轉來。,雨下那麼大，這麼幸運遇到叔叔載你回家。,,副詞,,2心理活動與感覺
2-44,怨,uan^/bbienˆ ,埋怨,"怨人
怨天怨地","埋怨人
怨天怨地",,動詞,,2心理活動與感覺
2-45,印象,rhin^ siong,印象,"𠊎對榴槤个印象真䆀，無佮意食。
在𠊎个印象內底，佢對人真好。","我對榴槤的印象很糟，不愛吃。
在我印象裡，他對人很好。",,名詞,,2心理活動與感覺
2-46,憂傷,rhiuˇ shongˇ ,憂傷,心肝底十分憂傷,心裡十分憂傷,,形容詞,,2心理活動與感覺
2-47,接受,ziabˊ shiu ,接受,你這種想法，𠊎無法度接受。,你這種想法，我沒辦法接受。,,動詞,,2心理活動與感覺
2-48,考慮,koo^ li,考慮,請你擱考慮一下。,請你再考慮一下。,,動詞,,2心理活動與感覺
2-49,省儆,sang^ kiang ,愛惜,物件愛省儆使用,東西要愛惜使用,,動詞,,2心理活動與感覺
2-50,克服,kiedˊ fu ,克服,這問題真難克服。,這問題很難克服。,,動詞,,2心理活動與感覺
2-51,肯定,ken^ ten ,肯定,佢个研究受着大家个肯定。,他的研究受到大家的肯定。,,動詞,,2心理活動與感覺
2-52,欣羨,himˇ sien,羨慕,愛麼个即有，同學歸下攏真欣羨佢。,要什麼就有，同學全部都很羨慕他。,,動詞,,2心理活動與感覺
2-53,想講,siong gong^ ,以為,一直喊你，攏毋應事，想講你無聽着咧！,一直叫你，都不回應，以為你沒聽到呢！,,動詞,,2心理活動與感覺
2-54,了解,leeu^ goi^ ,了解,你了解𠊎个意思無？,你了解我的意思嗎？,,動詞,,2心理活動與感覺
2-55,戀愛,lien oi^ ,戀愛,佢兩儕戀愛真多年正結婚。,他們倆談戀愛很多年才結婚。,,動詞,,2心理活動與感覺
2-56,歡喜,fanˇ hi^ ,樂意,𠊎真歡喜聽你講,我很樂意聽你說,,動詞,,2心理活動與感覺
2-57,毋甘願,mˋ gamˇ ngien,不甘願,佢見擺賞，輸去即毋甘願。,他每次玩，輸了就不甘願。,,動詞,,2心理活動與感覺
2-58,毋盼,mˋ pan,捨不得,心肝底毋盼,心裡捨不得,,副詞,,2心理活動與感覺
2-59,想,siong,深思,想心事,深思心事,,動詞,,2心理活動與感覺
2-60,無意思,moˋ rhi^ su^ ,不夠意思，通常用在說人對朋友沒義氣，或對他人的言行感到不滿,佢真無意思，原本講好个又假毋知。,他很不夠意思，原本說好的又假裝不知道。,,形容詞,,2心理活動與感覺
2-61,望想,mong siong,期盼,莫望想爺哀供你一世人。,不要期盼父母養你一輩子。,,動詞,,2心理活動與感覺
2-62,發目赤（目赤、目空赤）,budˊ hmˊ chaˊ (hmˊ chaˊ、hmˊ kungˇ chaˊ) ,嫉妒、眼紅,佢見䀴着人有好空即發目赤。,他每次看到別人得到好處就嫉妒。,,動詞,,2心理活動與感覺
