編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
12-3,伸,chunˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-003.mp3,剩餘,屋下米伸無幾多,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-003s.mp3,家裡米剩沒多少。,,動詞,,12職業與經濟
12-4,店仔,diamˇ er,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-004.mp3,店鋪,這店仔生理當好,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-004s.mp3,這間店生意很好。,,名詞,,12職業與經濟
12-5,發票,fad  piauˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-005.mp3,發票,發票兩隻月對獎一到,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-005s.mp3,發票每兩個月兌獎一次。,,名詞,,12職業與經濟
12-6,飯店,pon+ diamˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-006.mp3,飯店,在飯店歇一夜,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-006s.mp3,在飯店休息一晚。,,名詞,,12職業與經濟
12-7,加,gaˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-007.mp3,加,"加法
加五十個銀分你",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-007s.mp3,"加法。
加五十元給你。",,動詞,,12職業與經濟
12-8,減,gamˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-008.mp3,減,"減法
這飯添忒多，減兜分你好無？",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-008s.mp3,"減法。
這飯添太多，攤一些給你好嗎？",,動詞,,12職業與經濟
12-9,耕田(耕種),gangˋtien( gangˋzhungˇ),https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-009.mp3,耕田；務農,"耕田人煞猛耕田
耕田愛照節氣來做事",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-009s.mp3,"農夫努力耕田。
耕田要依照節氣來工作。",,動詞,,12職業與經濟
12-10,耕田人(耕種人),gangˋtien ngin(gangˋzhungˇ ngin),https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-010.mp3,種田人、農夫,𠊎太係耕田人，𠊎爸乜共樣係,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-010s.mp3,我的曾祖父是農夫，我爸爸也是。,,名詞,,12職業與經濟
12-11,記者,giˇzhaˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-011.mp3,記者,記者等下愛來採訪，你準備一下,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-011s.mp3,記者等一下要來採訪，你準備一下。,,名詞,,12職業與經濟
12-12,貴,guiˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-012.mp3,貴,這下麼个就貴，還衰過,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-012s.mp3,現在什麼都貴，真可憐。,,形容詞,,12職業與經濟
12-13,工廠,gungˋ chong,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-013.mp3,工廠,阿爸在工廠上班,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-013s.mp3,爸爸在工廠上班。,,名詞,,12職業與經濟
