編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
2-29,快樂,kuai^ loo,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-029.mp3,快樂,"快樂過日
逐日攏真快樂",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-029s.mp3,"快樂過日子。
每天都很快樂。",,形容詞,,2心理活動與感覺
2-30,理想,li^ siong^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-030.mp3,理想,"佢有真高个人生理想
佢這擺个成績無理想",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-030s.mp3,"他有很遠大的人生理想。
他這次的成績不理想。",,名詞,形容詞,2心理活動與感覺
2-31,毋記得（添放）,mˋ ki^ dedˊ (teemˇ piong),https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-031.mp3,不記得、忘記,壞啊！𠊎个錢毋記得抸！,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-031s.mp3,糟了！我的錢忘記帶了！,,動詞,,2心理活動與感覺
2-32,毋肯,mˋ ken^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-032.mp3,不肯,阿媽毋肯得𠊎直直食糖，驚牙齒會蛀去,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-032s.mp3,祖母不肯讓我一直吃糖果，怕會蛀牙。,,動詞,,2心理活動與感覺
2-33,無要緊,moˋ rhioo^ gin^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-033.mp3,不要緊、沒關係,這擺無考好無要緊啦，後擺加油即好,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-033s.mp3,這次沒考好不要緊啦，下次加油就好。,,副詞,,2心理活動與感覺
2-34,毋識,mˇ shidˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-034.mp3,不認得；不曾,"十外年正見一擺，這下佢毋識你啊。
食恁緊做麼个？毋識食過係無？",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-034s.mp3,"十多年才見一次，現在他都不認得你了。
吃這麼快幹麼？不曾吃過嗎？",,動詞,副詞,2心理活動與感覺
2-35,毋知,mˇ diˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-035.mp3,不知道,逐擺攏按，賞到毋知好轉,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-035s.mp3,每次都這樣，玩到不知道回家。,,動詞,,2心理活動與感覺
2-36,無愛,moˋ oi^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-036.mp3,不要,佢恁粗魯，無愛佮佢尞較好,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-036s.mp3,他那麼粗魯，不要跟他玩比較好。,,動詞,,2心理活動與感覺
2-37,慼,ciedˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-037.mp3,討厭,佢足慼黃蚻，尤其係會飛个,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-037s.mp3,他非常討厭蟑螂，尤其是會飛的。,,動詞,,2心理活動與感覺
2-38,忍,ngunˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-038.mp3,忍,你即愛忍落來,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-038s.mp3,你可要忍住。,,動詞,,2心理活動與感覺
2-39,餓,ngo ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-039.mp3,餓,"即算日子苦，嘛毋會得你餓着
兩三日無食物件，佢即餓死",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-039s.mp3,"就算日子苦，也不會讓你挨餓。
兩三天沒吃東西，他就餓死。",,動詞,,2心理活動與感覺
2-40,愛,oi^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-040.mp3,要；喜歡、愛,正頓愛食飽，莫直直食點心。,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-040s.mp3,正餐要吃飽，不要一直吃點心。,,動詞,,2心理活動與感覺
2-41,安心,onˇ simˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-041.mp3,安心,"佢得地動嚇着，無法度安心睡
時間猶罅，你做你安心食",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-041s.mp3,"他被地震嚇到，沒辦法安心睡覺。
時間還夠，你儘管安心吃。",,動詞,,2心理活動與感覺
