編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-52,外科,nguai kooˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-052.mp3,外科,外科先生,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-052s.mp3,外科醫生,,名詞,,1人體與醫療
1-53,後斗殼,heu deu^ kogˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-053.mp3,後腦杓,後斗殼無堵好搉着，真疾。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-053s.mp3,後腦杓不小心敲到，好痛。,,名詞,,1人體與醫療
1-54,腦筋,nau^ gunˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-054.mp3,腦子,"佢這個人即係死腦筋。
氣到噼腦筋",https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-054s.mp3,"他這個人就是死腦筋。
氣到中風",,名詞,,1人體與醫療
1-55,頭那髓,teuˋ naˋ cueˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-055.mp3,腦漿,頭那髓在頭那殼內底，係人體內底頭重要个部分。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-055s.mp3,腦漿在頭殼裡面，是身體當中極重要的部分。,,名詞,,1人體與醫療
1-56,內科,nui kooˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-056.mp3,內科,內科先生,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-056s.mp3,內科醫生,,名詞,,1人體與醫療
1-57,愛滋病,oi^ zuˇ piang,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-057.mp3,愛滋病,現時著着愛滋病有好醫啊。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-057s.mp3,現在得到愛滋病有得醫了。,,名詞,,1人體與醫療
1-58,濞,pinn,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-058.mp3,鼻涕,流濞,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-058s.mp3,流鼻涕,,名詞,,1人體與醫療
1-59,皮膚,piˋ fuˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-059.mp3,皮膚,皮膚病足難醫。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-059s.mp3,皮膚病很不好治。,,名詞,,1人體與醫療
1-60,病,piang ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-060.mp3,疾病,這病猶有救無？,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-060s.mp3,這病還有救嗎？,,名詞,,1人體與醫療
1-61,病人,piang nginˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-061.mp3,病人,病院內底有真多病人,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-061s.mp3,醫院裡有很多病人,,名詞,,1人體與醫療
