編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
4-147,斡,vadˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-147.mp3,轉彎、掉頭,"斡右片。
斡頭做佢走。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-147s.mp3,"右轉。
掉頭逕自走開。",,動詞,,外在活動與動作
4-148,攉忒【攉核】,vogˋ tedˋ【vogˋ hedˋ】 ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-148.mp3,拋棄；丟棄,同地圾攉忒（攉核）。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-148s.mp3,把垃圾丟掉。,,動詞,,外在活動與動作
4-149,選,xienˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-149.mp3,選,選總統。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-149s.mp3,選總統。,,動詞,,外在活動與動作
4-150,遮,zaˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-150.mp3,遮蔽,日頭分雲遮等。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-150s.mp3,太陽被雲遮住。,,動詞,,外在活動與動作
4-151,摺,zabˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-151.mp3,摺疊,摺衫褲。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-151s.mp3,摺衣服。,,動詞,,外在活動與動作
4-152,紮,zadˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-152.mp3,纏束,"紮花燈。
紮禾稈。
紮髻鬃。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-152s.mp3,"紮花燈。
紮稻稈。
紮髮髻。",,動詞,,外在活動與動作
4-153,矺,zagˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-153.mp3,壓,"矺鹹菜。
矺等。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-153s.mp3,"壓製鹹菜。
壓著。",,動詞,,外在活動與動作
4-154,爪,zauˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-154.mp3,抓,"兩支腳爪到疤疤。
背囊當（蓋）癢，同𠊎爪一下仔好無？",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-154s.mp3,"兩隻腳抓得都是疤痕。
背很癢，幫我抓一下好嗎？",,動詞,,外在活動與動作
4-155,撮,zebˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-155.mp3,用三指取物；三指取物的量,"對碗公項撮幾粒仔番豆起來。
一撮鹽。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-155s.mp3,"從大碗裡抓幾粒花生起來。
一撮鹽。",,動詞,數/量詞,外在活動與動作
4-156,指,ziiˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-156.mp3,指出,係麼人打你？指分大家看。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-156s.mp3,是誰打你？指給大家看。,,動詞,,外在活動與動作
4-157,嘴擘擘,zoi bagˋ bagˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-157.mp3,嘴巴開開的,"老弟一床就嘴擘擘討飯食。
",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-157s.mp3,弟弟一起床就嘴巴開開的討飯吃。,,形容詞,,外在活動與動作
4-158,撙,zunˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-158.mp3,扭轉,"撙時鐘仔。
撙電視。
撙緪來。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-158s.mp3,"轉時鐘。
轉電視。
扭緊。",,動詞,,外在活動與動作
4-159,種,zung,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-159.mp3,倒栽,佢對棚頂種下來，跌到（跌啊）當（蓋）傷重。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-159s.mp3,他從樓上倒栽下來，傷得很嚴重。,,動詞,,外在活動與動作
4-160,低頭,daiˊ teuˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-160.mp3,低頭,自家係增志，斯毋使向人低頭。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-160s.mp3,自己若上進，就不用向人低頭。,,動詞,,外在活動與動作
4-161,慢走,man zeuˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-161.mp3,慢跑,佢逐（每）日會去公園慢走。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-161s.mp3,他每天會去公園慢跑。,,動詞,,外在活動與動作
4-162,使油漆,siiˋ iuˇ qidˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-162.mp3,粉刷油漆,使油漆該下，屋肚（屋仔裡背）愛保持空氣流通。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-162s.mp3,粉刷油漆時，屋子裡要保持空氣流通。,,動詞,,外在活動與動作
4-163,此腔無此詞條,,,,,,,,,,
4-164,此腔無此詞條,,,,,,,,,,
5-1,植物,ciid vud ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-001.mp3,植物,植物園。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-001s.mp3,植物園。,,名詞,,生物
5-2,暴芽,bau ngaˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-002.mp3,植物發出新芽,綠豆仔暴芽。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-002s.mp3,綠豆發出新芽。,,動詞,,生物
5-3,必目,bidˋ mugˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-003.mp3,植物開始發芽,薑必目，好種竹。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-003s.mp3,薑發芽時，適合種竹子。,,動詞,,生物
5-4,綻筍,can sunˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-004.mp3,植物長出新生的幼芽,蕹菜割啊忒（割啊核），下二擺還會過綻筍。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-004s.mp3,空心菜割完，下次還會發新芽。,,動詞,,生物
5-5,根,ginˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-005.mp3,根,樹根。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-005s.mp3,樹根。,,名詞,,生物
5-6,秧仔,iongˊ eˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-006.mp3,農作物的幼苗的通稱,秧仔正蒔無幾久，堵着寒流嗄死淨淨。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-006s.mp3,剛種下秧苗沒多久，遇到寒流竟然死光光。,,名詞,,生物
5-7,青菜,qiangˊ coi,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-007.mp3,青菜，蔬菜,青菜當（蓋）有營養。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-007s.mp3,蔬菜很有營養。,,名詞,,生物
5-8,包心白【山東白】,bauˊ ximˊ pag【sanˊ dungˊ pag】,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-008.mp3,大白菜,包心白（山東白）淨炒乜好食。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-008s.mp3,大白菜清炒也好吃。,,名詞,,生物
5-9,角菜,gogˋ coi,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-009.mp3,菠菜,一抓角菜。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-009s.mp3,一把菠菜。,,名詞,,生物
5-10,辣椒仔,lad zeuˊ eˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-010.mp3,辣椒,阿爸毋敢食辣椒仔。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-010s.mp3,爸爸不敢吃辣椒。,,名詞,,生物
5-11,桂花,gui faˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-011.mp3,桂花,屋面前種幾下頭桂花樹。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-011s.mp3,屋前種了好幾棵桂花樹。,,名詞,,生物
5-12,菊花,kiugˋ faˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-012.mp3,菊花,菊花茶。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-012s.mp3,菊花茶。,,名詞,,生物
5-13,梅花,moiˇ faˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-013.mp3,梅花,梅花係國花。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-013s.mp3,梅花是國花。,,名詞,,生物
5-14,芒花（娘花）,miongˇ faˊ (ngiongˇ faˊ),https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-014.mp3,芒草花,滿山个芒花。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-014s.mp3,滿山的芒草花。,,名詞,,生物
5-15,棉仔,mienˇ eˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-015.mp3,棉花,這領衫係棉仔做个。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-015s.mp3,這件衣服是棉製的。,,名詞,,生物
5-16,松樹,qiungˇ su,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-016.mp3,松樹,松樹葉仔尖尖。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-016s.mp3,松樹葉尖尖的。,,名詞,,生物
5-17,葡萄,puˇ toˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-017.mp3,葡萄,葡萄當（蓋）有營養。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-017s.mp3,葡萄很有營養。,,名詞,,生物
5-18,竇,deu,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-018.mp3,窩,燕仔當（蓋）愛在屋簷（簷頭）下做竇。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-018s.mp3,燕子很喜歡在屋簷下築巢。,,名詞,,生物
5-19,狗竇,gieuˋ deu,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-019.mp3,狗窩,房間像狗竇樣仔。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-019s.mp3,房間像狗窩一樣。,,名詞,,生物
5-20,吠,poi,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-020.mp3,（狗的）叫,狗吠。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-020s.mp3,狗吠。,,動詞,,生物
5-21,猴仔,heuˇ eˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-021.mp3,猴子,猴仔當（蓋）精。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-021s.mp3,猴子很精明。,,名詞,,生物
5-22,龍,liungˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-022.mp3,龍,肖龍。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-022s.mp3,屬龍。,,名詞,,生物
5-23,駱駝,log/lod toˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-023.mp3,駱駝,駱駝做得在沙漠載東西。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-023s.mp3,駱駝可以在沙漠運載東西。,口語lod toˇ,名詞,,生物
5-24,象仔,xiong eˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-024.mp3,象,象仔个鼻公長長。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-024s.mp3,大象的鼻子長長的。,,名詞,,生物
5-25,獅仔,siiˊ eˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-025.mp3,獅子,獅仔當（蓋）惡。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-025s.mp3,獅子很凶。,,名詞,,生物
5-26,頭牲,teuˇ sangˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-026.mp3,泛指家畜家禽,畜頭牲。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-026s.mp3,養牲畜。,,名詞,,生物
5-27,啼,taiˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-027.mp3,雞啼,天吂（毋曾）光就聽着雞啼。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-027s.mp3,天還沒亮就聽到雞啼。,,動詞,,生物
5-28,屋簷鳥（屋角鳥）【禾鷝仔】,vugˋ iamˇ diauˊ (vugˋ gogˋ diauˊ)【voˇ/loˇ bidˋ eˋ】,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-028.mp3,麻雀,屋簷鳥（禾鷝仔）天頂飛。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-028s.mp3,麻雀在天上飛。,,名詞,,生物
5-29,月鴿仔,ngied gabˋ eˇ【ngiad gabˋ eˋ】 ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-05-029.mp3,鴿子,阿爸頭擺有在屋頂畜月鴿仔。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-05-029s.mp3,爸爸以前曾在屋頂養鴿子。,,名詞,,生物
